name,first-order,unsatisfiable,well-formed,unique names,vampire solution result,vampire solution time (ms),vampire TSTP size (bytes),vampire compilation result,vampire compilation time (ms),vampire TESC size (bytes),vampire VTV verification result,vampire VTV verification time (ms),vampire VTV verification memory (kb),vampire OTV verification result,vampire OTV verification time (ms),vampire OTV verification memory (kb),eprover solution result,eprover solution time (ms),eprover TSTP size (bytes),eprover compilation result,eprover compilation time (ms),eprover TESC size (bytes),eprover VTV verification result,eprover VTV verification time (ms),eprover VTV verification memory (kb),eprover OTV verification result,eprover OTV verification time (ms),eprover OTV verification memory (kb)
NUM063-1,yes,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUM064-1,yes,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUM065-1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUM066-1,yes,yes,yes,yes,success,50030,7973,success,160,18490,success,40,14596,success,30,14700,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUM067-1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUM068-1,yes,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUM069-1,yes,yes,yes,yes,success,47963,18507,success,208,39868,success,60,14764,success,30,14800,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUM070-1,yes,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUM071-1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUM072-1,yes,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
